	Mock	Taxa
N1N2_SNV8802	Organism	Prymnesiophyceae
N1N2_SNV8816	Organism	Other plastid
N1N2_SNV8824	Organism	Other plastid
N1N2_SNV8863	Organism	Prymnesiophyceae
N1N2_SNV8864	Organism	Prymnesiophyceae
N1N2_SNV8875	Organism	Rappemonad
N1N2_SNV8919	Organism	Rappemonad
N1N2_SNV8921	Organism	Diatoms
N1N2_SNV8928	Organism	Diatoms
N1N2_SNV8958	Organism	Diatoms
N1N2_SNV8972	Organism	Diatoms
N1N2_SNV8976	Organism	Pelagophyceae
N1N2_SNV8984	Organism	Other plastid
N1N2_SNV8987	Organism	Diatoms
N1N2_SNV8996	Organism	Diatoms
N1N2_SNV9047	Organism	Prymnesiophyceae
N1N2_SNV9049	Organism	Chrysophyceae
N1N2_SNV9062	Organism	Other plastid
N1N2_SNV9115	Organism	Diatoms
N1N2_SNV9133	Organism	Dictyochophyceae
N1N2_SNV9157	Organism	Other plastid
N1N2_SNV9158	Organism	Chrysophyceae
N1N2_SNV9159	Organism	Other plastid
N1N2_SNV9160	Organism	Chrysophyceae
N1N2_SNV9199	Organism	Diatoms
N1N2_SNV9242	Organism	Prymnesiophyceae
N1N2_SNV9244	Organism	Micromonas
N1N2_SNV9265	Organism	Chrysophyceae
N1N2_SNV9279	Organism	Prymnesiophyceae
N1N2_SNV9295	Organism	Pelagophyceae
N1N2_SNV9321	Organism	Rappemonad
N1N2_SNV9334	Organism	Diatoms
N1N2_SNV9342	Organism	Chrysophyceae
N1N2_SNV9344	Organism	Rappemonad
N1N2_SNV9383	Organism	Prymnesiophyceae
N1N2_SNV9394	Organism	Dictyochophyceae
N1N2_SNV9396	Organism	Other plastid
N1N2_SNV9408	Organism	Prymnesiophyceae
N1N2_SNV9436	Organism	Other plastid
N1N2_SNV9475	Organism	Diatoms
N1N2_SNV9531	Organism	Cryptophyceae
N1N2_SNV9545	Organism	Other plastid
N1N2_SNV9589	Organism	Other plastid
N1N2_SNV9596	Organism	Cryptophyceae
N1N2_SNV9612	Organism	Other plastid
N1N2_SNV9613	Organism	Chrysophyceae
N1N2_SNV9614	Organism	Prymnesiophyceae
N1N2_SNV9615	Organism	Other plastid
N1N2_SNV9623	Organism	Dictyochophyceae
N1N2_SNV9679	Organism	Other plastid
N1N2_SNV9684	Organism	Cryptophyceae
N1N2_SNV9694	Organism	Prymnesiophyceae
N1N2_SNV9697	Organism	Other plastid
N1N2_SNV9703	Organism	Rappemonad
N1N2_SNV9707	Organism	Other plastid
N1N2_SNV9840	Organism	Other plastid
N1N2_SNV9843	Organism	Rappemonad
N1N2_SNV9850	Organism	Prymnesiophyceae
N1N2_SNV9854	Organism	Diatoms
N1N2_SNV9858	Organism	Rappemonad
N1N2_SNV9936	Organism	Other plastid
N1N2_SNV9937	Organism	Pelagophyceae
N1N2_SNV10004	Organism	Prymnesiophyceae
N1N2_SNV10011	Organism	Other plastid
N1N2_SNV10047	Organism	Prymnesiophyceae
N1N2_SNV10049	Organism	Prymnesiophyceae
N1N2_SNV10078	Organism	Diatoms
N1N2_SNV10091	Organism	Other plastid
N1N2_SNV10093	Organism	Diatoms
N1N2_SNV10133	Organism	Other plastid
N1N2_SNV10154	Organism	Pelagophyceae
N1N2_SNV10213	Organism	Other plastid
N1N2_SNV10219	Organism	Other plastid
N1N2_SNV10222	Organism	Pelagophyceae
N1N2_SNV10318	Organism	Other plastid
N1N2_SNV10327	Organism	Other plastid
N1N2_SNV10333	Organism	Not assigned
N1N2_SNV10392	Organism	Diatoms
N1N2_SNV10399	Organism	Other plastid
N1N2_SNV10400	Organism	Other plastid
N1N2_SNV10401	Organism	Diatoms
N1N2_SNV10403	Organism	Other plastid
N1N2_SNV10457	Organism	Dictyochophyceae
N1N2_SNV10461	Organism	Not assigned
N1N2_SNV10497	Organism	Other plastid
N1N2_SNV10556	Organism	Diatoms
N1N2_SNV10569	Organism	Diatoms
N1N2_SNV10589	Organism	Diatoms
N1N2_SNV10590	Organism	Diatoms
N1N2_SNV10592	Organism	Other plastid
N1N2_SNV10645	Organism	Diatoms
N1N2_SNV10649	Organism	Diatoms
N1N2_SNV10666	Organism	Other plastid
N1N2_SNV10792	Organism	Other plastid
N1N2_SNV10855	Organism	Pelagophyceae
N1N2_SNV10858	Organism	Diatoms
N1N2_SNV10863	Organism	Prymnesiophyceae
N1N2_SNV10866	Organism	Diatoms
N1N2_SNV10905	Organism	Diatoms
N1N2_SNV10913	Organism	Prymnesiophyceae
N1N2_SNV10930	Organism	Other plastid
N1N2_SNV10931	Organism	Other plastid
N1N2_SNV10961	Organism	Prymnesiophyceae
N1N2_SNV11034	Organism	Other plastid
N1N2_SNV11054	Organism	Diatoms
N1N2_SNV11056	Organism	Diatoms
N1N2_SNV11059	Organism	Bolidophyceae
N1N2_SNV11185	Organism	Other plastid
N1N2_SNV11198	Organism	Prymnesiophyceae
N1N2_SNV11203	Organism	Pelagophyceae
N1N2_SNV11205	Organism	Dictyochophyceae
N1N2_SNV11217	Organism	Other plastid
N1N2_SNV11249	Organism	Prymnesiophyceae
