	Domain	Phylum 	Class	Order	Family	Genus	Species
N1N2_SNV3210	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC
N1N2_SNV3238	Eukaryota	Chlorophyta	Trebouxiophyceae				
N1N2_SNV3263	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C
N1N2_SNV3280	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV3289	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3292	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV3343	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV3349	Eukaryota	Haptophyta					
N1N2_SNV3355	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV3369	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3406	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3407	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV3412	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV3414	Eukaryota	Chlorophyta	2ndaryPlastid				
N1N2_SNV3421	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3452	Eukaryota	Haptophyta					
N1N2_SNV3453	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3458	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3465	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3478	Eukaryota	Haptophyta					
N1N2_SNV3493	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC
N1N2_SNV3496	Eukaryota	Chlorophyta					
N1N2_SNV3509	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3512	Eukaryota	Haptophyta					
N1N2_SNV3516	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV3579	Eukaryota	Chlorophyta	PrasinophyceaeVIII				
N1N2_SNV3606	Eukaryota	Haptophyta					
N1N2_SNV3634	Eukaryota	Haptophyta					
N1N2_SNV3650	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV3652	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3653	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV3656	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV3658	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV3667	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma				
N1N2_SNV3697	Eukaryota	Stramenopiles	new_euk_B				
N1N2_SNV3698	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV3702	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV3735	Eukaryota	Haptophyta					
N1N2_SNV3760	Eukaryota	Haptophyta					
N1N2_SNV3772	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIII
N1N2_SNV3773	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV3779	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV3804	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV3822	Eukaryota	Haptophyta	Rappemonad				
N1N2_SNV3832	Eukaryota	Haptophyta					
N1N2_SNV3860	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV3870	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3871	Eukaryota	new_euk_C					
N1N2_SNV3899	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3901	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3907	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI
N1N2_SNV3921	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3944	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3951	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3955	Eukaryota	Chlorophyta	PrasinophyceaeIII				
N1N2_SNV3956	Eukaryota	Haptophyta					
N1N2_SNV3968	Eukaryota	Haptophyta					
N1N2_SNV3995	Eukaryota	Chlorophyta	Chlorara				
N1N2_SNV4014	Eukaryota	Stramenopiles	Bacillariophyceae				
